realSum,person_capacity,host_is_superhost,multi,biz,cleanliness_rating,guest_satisfaction_overall,bedrooms,dist,metro_dist,attr_index,room_type_Private room,room_type_Shared room
0.1370428236348713,0.0,False,1.0,0.0,1.0,0.9625000000000001,0.125,0.2671263014242738,0.16810598855597164,0.41441018740919655,True,False
0.228210932524332,0.0,False,0.0,1.0,0.75,0.7750000000000001,0.125,0.10288723257424863,0.015722566978475346,0.6564640697361019,True,False
0.4244412572984092,0.5,False,0.0,0.0,0.875,0.875,0.25,0.4338489742047025,0.01831362732065023,0.2784559604780983,False,False
0.3806957623345478,0.5,False,1.0,0.0,1.0,1.0,0.125,0.1921999165466926,0.04560874839865281,0.5971783561411266,False,False
0.42347280714862745,0.5,False,0.0,1.0,0.875,0.8500000000000001,0.0,0.036367682337529926,0.02550277551066786,0.8173932358674714,False,False
0.39639877960853875,0.0,False,0.0,1.0,0.875,1.0,0.125,0.2640334092317458,0.046421175183508245,0.4498647066358079,False,False
0.24184840542655606,0.25,False,0.0,1.0,0.875,0.8625,0.125,0.19913624789972906,0.022814982771689824,0.5374043970967466,True,False
0.41762012108974533,0.25,False,0.0,0.0,0.75,0.8500000000000001,0.125,0.040469237287327216,0.035500015147692396,0.7902508171787019,False,False
0.35581433947160546,0.25,False,1.0,0.0,1.0,0.8875,0.125,0.2549935012879377,0.030851952577189177,0.4442839680319173,True,False
0.1839274901469682,0.5,False,0.0,0.0,1.0,1.0,0.25,0.9387270354634695,0.533816728883563,0.022428209505201302,True,False
0.20579905002976107,0.0,True,1.0,0.0,1.0,0.9875,0.125,0.29367865602967846,0.063345443430704,0.3984808082408682,True,False
0.30595429969375776,0.0,False,0.0,1.0,0.75,0.75,0.125,0.12589540674055044,0.026098656158955853,0.622996041357176,True,False
0.454802732358527,0.0,True,0.0,1.0,1.0,1.0,0.0,0.227628246420944,0.015476656552695088,0.587229242157256,False,False
0.2740646780362662,0.0,True,1.0,0.0,1.0,1.0,0.125,0.41916396659559313,0.03445706458473767,0.2946473229942781,True,False
0.14320669321579982,0.0,False,0.0,1.0,0.875,0.7750000000000001,0.125,0.2642275633078493,0.1017907836937279,0.5191272726097977,True,False
0.5015974596835558,0.75,False,0.0,0.0,1.0,0.875,0.375,0.2137570529949986,0.016303672400927484,0.6284008823022416,False,False
0.5130547569837459,1.0,False,0.0,1.0,1.0,1.0,0.375,0.23270548978615213,0.03988540684116498,0.47392973089744594,False,False
0.256122545949362,0.0,False,1.0,0.0,0.875,0.9000000000000001,0.125,0.07394542554858478,0.018887317487808468,0.7774993610032941,True,False
0.3058197399667294,0.0,False,1.0,0.0,0.875,0.8375000000000001,0.125,0.18203399681329593,0.055733819971753445,0.6075650683616258,False,False
0.25594433800208805,0.5,False,0.0,0.0,0.875,0.9125000000000001,0.25,0.6525558887878535,0.7875328016233402,0.1338289803620878,True,False
0.10379904476824553,0.0,False,1.0,0.0,0.875,0.875,0.125,0.3044789431575803,0.12249069131663425,0.40956871532020855,True,False
0.3648236727142832,0.5,False,1.0,0.0,0.25,0.5,0.0,0.26113937722548225,0.045032043208406335,0.4945106214405448,False,False
0.23273876403659832,0.0,False,0.0,1.0,0.75,0.7875000000000001,0.125,0.4983848920528522,0.07416740041760062,0.20592235886182553,True,False
0.298537988166803,0.0,False,0.0,1.0,0.75,0.7375,0.0,0.3428003876796987,0.029834996057360726,0.37322856512674507,False,False
0.2451000824035493,0.0,False,1.0,0.0,0.875,1.0,0.125,0.3818919629307862,0.11127033272465457,0.2908091927784371,True,False
0.08935891432104215,0.0,False,0.0,0.0,0.75,0.5875,0.125,0.633408163289965,0.7133419213320034,0.14016147637984688,True,False
0.28316469095842334,0.75,False,1.0,0.0,1.0,0.9500000000000002,0.125,0.2161816341831649,0.08185566048737634,0.46883174775755343,True,False
0.18339158825813184,0.0,False,0.0,0.0,1.0,0.9750000000000001,0.125,0.5072781519700763,0.04360051153652599,0.2042931189765782,True,False
0.3539767781193147,0.0,False,1.0,0.0,0.75,0.8500000000000001,0.0,0.2648052367812247,0.04909545856307566,0.48653993298053133,False,False
0.18339158825813184,0.0,False,0.0,0.0,0.875,0.75,0.125,0.4111954157419995,0.4287053163395376,0.2883603054621564,True,False
0.41812124305994713,0.0,False,1.0,0.0,1.0,1.0,0.125,0.4159642136137122,0.11783643971162228,0.28978874974368996,True,False
0.2834703110069978,0.0,False,0.0,1.0,0.625,0.875,0.0,0.28387521664363485,0.052975642178274045,0.4650191590395718,False,False
0.3315851104298452,0.0,False,0.0,0.0,1.0,1.0,0.125,0.26157022200252916,0.041762367484585394,0.4520879053907356,False,False
0.3260273140576445,0.0,False,0.0,1.0,0.75,0.875,0.0,0.21894373431982886,0.025246590676473106,0.6413220146515131,False,False
0.35993019562880557,0.75,False,0.0,1.0,0.75,0.65,0.25,0.25115697478656085,0.01251260877216739,0.4602025390047704,False,False
0.28285854363842466,0.0,False,0.0,0.0,0.875,0.9125000000000001,0.125,0.27814612681134787,0.055476292865266785,0.4500627520736187,False,False
0.16503045611886513,0.0,False,0.0,0.0,0.875,0.9375,0.125,0.4945121124999244,0.3478481961323574,0.2910928694164896,True,False
0.3847105570603401,0.5,False,0.0,1.0,1.0,0.9000000000000001,0.125,0.19052321131928585,0.06495517474894416,0.6187948101390508,False,False
0.1632357473303182,0.0,False,0.0,0.0,0.75,0.8625,0.125,0.13045065173264017,0.05734342244018302,0.6081371240523801,True,False
0.14488155464167207,0.0,False,0.0,0.0,0.875,0.9500000000000002,0.125,0.2847663846737946,0.0820544066117665,0.4738466000326058,True,False
0.4054553583101014,0.5,False,1.0,0.0,0.875,0.8125,0.125,0.33331137792861876,0.045260404270871225,0.3847404813366406,False,False
0.370242435938659,0.0,False,0.0,0.0,0.75,1.0,0.125,0.2951885006322303,0.021963682065418884,0.41448579461955815,False,False
0.2651510805228984,0.0,False,1.0,0.0,1.0,1.0,0.125,0.26011769884032504,0.20306177755872742,0.4222794486263648,True,False
0.25487131554953746,0.0,False,0.0,0.0,1.0,0.9125000000000001,0.125,0.19163614675921792,0.07599530051971816,0.4920643030832357,True,False
0.15206874199191067,0.0,True,1.0,0.0,1.0,0.9375,0.125,0.44705241427065057,0.4050534586816082,0.26904399692208103,True,False
0.3423138833685727,0.25,False,0.0,1.0,0.75,0.6875,0.0,0.26427696474253476,0.05226319922187377,0.4876548444648823,False,False
0.20508806235318777,0.0,False,0.0,1.0,0.875,0.8375000000000001,0.125,0.23386120655962703,0.06835619093995055,0.5757058406960867,True,False
0.38427854047930377,0.5,False,0.0,0.0,0.625,0.625,0.25,0.33625107952880756,0.057731572603153924,0.3875806934106565,False,False
0.23395383641829348,0.25,False,0.0,1.0,0.875,0.8500000000000001,0.125,0.2364966643341012,0.057275308888766537,0.5393621957946129,True,False
0.3103384799797889,0.5,False,0.0,0.0,1.0,1.0,0.125,0.4378662754895438,0.19330342597535546,0.24545038674483122,False,False
0.1734578435901587,0.25,False,1.0,0.0,1.0,1.0,0.125,0.27535369073810656,0.06572380128440278,0.44850298100204,True,False
0.587358280120391,0.0,False,0.0,0.0,1.0,1.0,0.125,0.19572761259400334,0.05337847519454099,0.5100320377046244,False,False
0.22141163867521685,0.0,False,0.0,0.0,0.625,0.7625,0.125,0.1621360816530245,0.04204930452179638,0.578904801720493,True,False
0.19831108880083492,0.0,False,0.0,0.0,1.0,1.0,0.125,0.8663913205498025,0.4306891053232041,0.05082100900144226,True,False
